UniProt_ID	CAZy_family	Cat_Group_Accessions_Used	PDB_Before_AF3_Cutoff_Count	PDB_IDs_Before_AF3_Cutoff
A0A2R2JFH0	AA15	A0A2N8U5K6	1	5MSZ
A0A2N8U5I8	AA15	A0A2N8U5I8	0	
W4GRV7	AA15	W4GRV7	0	
A0A1L9X7U6	AA16	A0A1L9X7U6	0	
A0A833WPX8	AA17	A0A833WPX8	0	
G4YSM3	AA17	G4YSM3	0	
D0N2F7	AA17	D0N2F7	0	
D0N2F6	AA17	D0N2F6	0	
G4YSM7	AA17	G4YSM7	0	
G3XAP7	AA9	G3XAP7	2	2YET;3ZUD
Q4WP32	AA9	Q4WP32	4	5X6A;6H1Z;6HA5;6HAQ
Q5BCX8	AA9	Q5BCX8	0	
A0A0S2GKZ1	AA9	A0A0S2GKZ1	17	5ACF;5ACG;5ACH;5ACI;5ACJ;5N04;5N05;5NKW;5NLN;5NLO;5NLP;5NLQ;5NLR;5NLS;6YDG;7NIM;7NIN
Q7S439	AA9	Q7S439	1	5FOH
G2Q9T3	AA9	G2Q9T3	0	
G2QAB5	AA9	G2QAB5	1	5UFV
Q7SHI8	AA9	Q7SHI8	2	4D7U;4D7V
H1AE14	AA9	H1AE14	1	4B5Q
Q1K8B6	AA9	Q1K8B6;Q8WZQ2	5	4EIR;5TKF;5TKG;5TKH;5TKI
Q8WZQ2	AA9	Q1K8B6	5	4EIR;5TKF;5TKG;5TKH;5TKI
A0A223GEC9	AA9	A0A223GEC9	5	5NLT;6YDC;6YDD;6YDE;6YDF
B2ARG6	AA9	B2ARG6	0	
Q7SHD9	AA9	Q7SHD9;Q6MGH2	0	
Q6MGH2	AA9	Q7SHD9	0	
B2B629	AA9	B2B629	0	
Q1K4Q1	AA9	Q1K4Q1;Q873G1	1	4QI8
Q873G1	AA9	Q1K4Q1	1	4QI8
Q7RWN7	AA9	Q7RWN7	0	
S7RK00	AA9	S7RK00	0	
A0A6C0M6J9	AA9	A0A6C0M6J9	0	
B2ADG1	AA9	B2ADG1	0	
B2ATL7	AA9	B2ATL7	0	
B2AVF1	AA9	B2AVF1	0	
W4KMP1	AA9	W4KMP1	1	5NNS
A0A0H4K9X4	AA9	A0A0H4K9X4	0	
A0A1C9ZP88	AA9	A0A1C9ZP88	0	
B2B403	AA9	B2B403	0	
A0A6C0PI79	AA9	A0A6C0PI79;M2QX02	0	
M2QX02	AA9	A0A6C0PI79	0	
M2QEW2	AA9	M2QEW2	0	
A0A167KNY8	AA9	A0A167KNY8	0	
A0A3S4B613	AA9	A0A3S4B613	0	
A0A8F2JFW3	AA9	A0A8F2JFW3	0	
D0VWZ9	AA9	A0A446BDM9;G2RGE5	2	3EII;3EJA
G2QI82	AA9	G2QI82	0	
M2RAI8	AA9	M2RAI8	0	
A0A446BDM8	AA9	A0A446BDM8	0	
Q7S111	AA9	Q7S111	0	
Q7SA19	AA9	Q7SA19	1	4EIS
G2Q7A5	AA9	G2Q7A5	0	
Q7SCJ5	AA9	Q7SCJ5	0	
A0A167KNZ4	AA9	A0A167KNZ4	0	
A0A3S4ATQ2	AA9	A0A3S4ATQ2	0	
A0A446B9M7	AA9	A0A446B9M7	0	
A0A446BDM9	AA9	A0A446BDM9;G2RGE5;D0VWZ9	2	3EII;3EJA
G2RGE5	AA9	A0A446BDM9;D0VWZ9	2	3EII;3EJA
A0A8F2FAB6	AA9	A0A8F2FAB6	0	
G2Q9F7	AA9	G2Q9F7	0	
G0R6T8	AA9	G0R6T8;O14405	2	5O2W;5O2X
O14405	AA9	G0R6T8	2	5O2W;5O2X
Q9F9Q5	AA10	A0A9P1NI18	4	2YOW;2YOX;2YOY;5IJU
Q9RDB8	AA10	A0A7U9DRA2	1	5FTZ
A0A6I7U4Z8	AA10	A0A6I7U4Z8	0	
A0A1C6SBM0	AA10	A0A1C6SBM0	0	
Q81CE4	AA10	A0A0C5K362	1	5WSZ
Q4WEH3	AA11	Q4WEH3	0	
