UniProt_ID	CAZy_family	InterPro_IDs	Protein_Name	Organism	EC_Number	Signal_End	Transmembrane_Regions	LPMO_Core_Start	LPMO_Core_End	Domain_Provenance	Binding_Modules	H1_Verified	H1_AminoAcid	Match_Status	Sequence_Group	CoAccessions	Cat_Seq_Group	Cat_CoAccessions
C7R4I0	AA10	IPR001223; IPR001579; IPR003610; IPR004302; IPR011583; IPR014756; IPR017853; IPR029070; IPR036573; IPR050314; PF00704; PF03067; cd12215	chitinase	Jonesia denitrificans (strain ATCC 14870 / DSM 20603 / BCRC 15368 / CIP 55.134 / JCM 11481 / NBRC 15587 / NCTC 10816 / Prevot 55134)	1.14.99.53	23	None	32	170	PFAM:PF03067	Chitin-binding domain of chitinase C [CDD:cd12215] (203-246)	False	L	Success_Characterized	C7R4I0		C7R4I0	
Q9RFX5	AA10	IPR001547; IPR001956; IPR004302; IPR008965; IPR014756; IPR017853; IPR018087; IPR036966; IPR051024; PF00150; PF00942; PF03067	cellulase	[Caldibacillus] cellulovorans	1.14.99.54	0	None	34	222	PFAM:PF03067	Cellulose binding domain [PFAM:PF00942] (292-433); Cellulose binding domain [PFAM:PF00942] (784-927)	True	H	Success_Characterized	Q9RFX5		Q9RFX5	
B3PDT6	AA10	IPR002883; IPR004302; IPR009031; IPR014756; IPR036601; IPR051024; PF03067; SM01064	Unknown	Cellvibrio japonicus (strain Ueda107)	1.14.99.54	22	None	25	227	PFAM:PF03067	None	False	F	Success_Characterized	B3PDT6		B3PDT6	
A0A0A1ED04	AA10	IPR001956; IPR003610; IPR003961; IPR004302; IPR008965; IPR013783; IPR014756; IPR036116; IPR036573; IPR036966; IPR051024; PF00942; PF03067; cd00063; cd12215	Unknown	Paenibacillus curdlanolyticus	1.14.99.53 1.14.99.54 1.14.99.56 1.14.99.-	23	None	24	183	PFAM:PF03067|original:29-183	Cellulose binding domain [PFAM:PF00942] (457-596); Chitin-binding domain of chitinase C [CDD:cd12215] (212-250)	True	H	Success_Characterized	A0A0A1ED04		A0A0A1ED04	
A0A9P1NI18	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Bacillus amyloliquefaciens (strain ATCC 23350 / DSM 7 / BCRC 11601 / CCUG 28519 / NBRC 15535 / NRRL B-14393 / F)	1.14.99.53	0	None	28	202	PFAM:PF03067	None	True	H	Success_Characterized	A0A9P1NI18		A0A9P1NI18	Q9F9Q5
B1VN59	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Streptomyces griseus subsp. griseus (strain JCM 4626 / CBS 651.72 / NBRC 13350 / KCC S-0626 / ISP 5235)	1.14.99.53	30	None	31	168	PFAM:PF03067	None	True	H	Success_Characterized	B1VN59		B1VN59	
B6EQJ6	AA10	IPR004302; IPR014756; IPR036573; IPR041029; IPR051024; PF03067; PF18416; cd12215	Unknown	Aliivibrio salmonicida (strain LFI1238)	1.14.99.53	25	None	26	214	PFAM:PF03067	Chitin-binding domain of chitinase C [CDD:cd12215] (353-395)	True	H	Success_Characterized	B6EQJ6		B6EQJ6	
C5BKQ9	AA10	IPR002883; IPR004302; IPR009031; IPR014756; IPR036601; IPR051024; PF03067; SM01064	Unknown	Teredinibacter turnerae (strain ATCC 39867 / T7901)	1.14.99.54 1.14.99.56	24	None	25	225	PFAM:PF03067	None	True	H	Success_Characterized	C5BKQ9		C5BKQ9	
Q2SNS3	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR013783; IPR014756; IPR041029; IPR051024; PF00553; PF03067; PF18416	Unknown	Hahella chejuensis (strain KCTC 2396)	1.14.99.54	23	None	24	226	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (449-553)	True	H	Success_Characterized	Q2SNS3		Q2SNS3	
Q47QG3	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Thermobifida fusca (strain YX)	1.14.99.54 1.14.99.56	36	None	37	219	PFAM:PF03067	None	True	H	Success_Characterized	Q47QG3		Q47QG3	
D0EW65	AA10	IPR003610; IPR003961; IPR004302; IPR013783; IPR014756; IPR036116; IPR036573; IPR051024; PF00041; PF03067; cd12215	Unknown	Bacillus thuringiensis subsp. kurstaki	1.14.99.53	0	None	41	207	PFAM:PF03067	Fibronectin type III domain [PFAM:PF00041] (222-302); Fibronectin type III domain [PFAM:PF00041] (316-391); Chitin-binding domain of chitinase C [CDD:cd12215] (411-433)	True	H	Success_Characterized	D0EW65		D0EW65	
D5UGA8	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR014756; IPR051024; PF00553; PF03067	Unknown	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134)	1.14.99.54 1.14.99.56	24	None	36	219	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (275-356)	False	A	Success_Characterized	D5UGA8		D5UGA8	
Q62YN7	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)	1.14.99.53	0	None	32	198	PFAM:PF03067	None	True	H	Success_Characterized	Q62YN7		Q62YN7	D0EW67
Q9RJC1	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	1.14.99.54 1.14.99.56	0	None	43	225	PFAM:PF03067	None	True	H	Success_Characterized	Q9RJC1		Q9RJC1	
D5UGB1	AA10	IPR001919; IPR004302; IPR006311; IPR008965; IPR012291; IPR014756; IPR051024; PF00553; PF03067; PS51318	Unknown	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134)	1.14.99.54	33	None	34	226	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (299-397)	True	H	Success_Characterized	D5UGB1		D5UGB1	
D5UHY1	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR014756; IPR018366; IPR051024; PF00553; PF03067	Unknown	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134)	1.14.99.53	0	None	43	178	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (226-306)	True	H	Success_Characterized	D5UHY1		D5UHY1	
F4H6A3	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR014756; IPR051024; PF00553; PF03067	Unknown	Cellulomonas fimi (strain ATCC 484 / DSM 20113 / JCM 1341 / CCUG 24087 / LMG 16345 / NBRC 15513 / NCIMB 8980 / NCTC 7547 / NRS-133)	1.14.99.54 1.14.99.56	33	None	34	216	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (266-351)	True	H	Success_Characterized	F4H6A3		F4H6A3	
Q7N4I5	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01)	1.14.99.53	25	None	26	193	PFAM:PF03067	None	True	H	Success_Characterized	Q7N4I5		Q7N4I5	
Q8Y4H4	AA10	IPR003610; IPR003961; IPR004302; IPR013783; IPR014756; IPR036116; IPR036573; IPR051024; PF00041; PF03067; cd00063; cd12215	Unknown	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)	1.14.99.53	27	None	28	188	PFAM:PF03067	Fibronectin type III domain [PFAM:PF00041] (301-378); Chitin-binding domain of chitinase C [CDD:cd12215] (390-429); Chitin-binding domain of chitinase C [CDD:cd12215] (436-472)	True	H	Success_Characterized	Q8Y4H4		Q8Y4H4	
Q9RJY2	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR014756; IPR051024; PF00553; PF03067	Unknown	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	1.14.99.54	0	None	35	225	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (265-353)	True	H	Success_Characterized	Q9RJY2		Q9RJY2	
Q9S296	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	1.14.99.53	27	None	34	211	PFAM:PF03067	None	False	A	Success_Characterized	Q9S296		Q9S296	
A0A0C5K362	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Bacillus thuringiensis subsp. kurstaki	1.14.99.53	0	None	35	198	PFAM:PF03067	None	True	H	Success_Characterized	A0A0C5K362		A0A0C5K362	Q81CE4
A0A7U9DRA2	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Streptomyces lividans 1326	1.14.99.53	29	None	30	199	PFAM:PF03067	None	True	H	Success_Characterized	A0A7U9DRA2		A0A7U9DRA2	Q9RDB8
A0A8D3WFW9	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Streptomyces pratensis (strain ATCC 33331 / IAF-45CD)	1.14.99.53 1.14.99.54 1.14.99.56 1.14.99.-	0	None	39	221	PFAM:PF03067	None	True	H	Success_Characterized	A0A8D3WFW9		A0A8D3WFW9	
B1VNK5	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR014756; IPR051024; PF00553; PF03067	Unknown	Streptomyces griseus subsp. griseus (strain JCM 4626 / CBS 651.72 / NBRC 13350 / KCC S-0626 / ISP 5235)	1.14.99.53 1.14.99.54	0	None	35	225	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (261-348)	True	H	Success_Characterized	B1VNK5		B1VNK5	
D0EW67	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Bacillus licheniformis	1.14.99.53	0	None	55	221	PFAM:PF03067	None	True	H	Success_Characterized	D0EW67		Q62YN7	Q62YN7
D5UH31	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR014756; IPR018366; IPR051024; PF00553; PF03067	Unknown	Cellulomonas flavigena (strain ATCC 482 / DSM 20109 / BCRC 11376 / JCM 18109 / NBRC 3775 / NCIMB 8073 / NRS 134)	1.14.99.54 1.14.99.56	31	None	37	217	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (281-357)	False	A	Success_Characterized	D5UH31		D5UH31	
Q47PB9	AA10	IPR001919; IPR003961; IPR004302; IPR008965; IPR012291; IPR013783; IPR014756; IPR036116; IPR051024; PF00041; PF00553; PF03067	Unknown	Thermobifida fusca (strain YX)	1.14.99.54	21	None	32	220	PFAM:PF03067	Fibronectin type III domain [PFAM:PF00041] (244-324); Cellulose binding domain [PFAM:PF00553] (335-435)	False	A	Success_Characterized	Q47PB9		Q47PB9	
Q59930	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Serratia marcescens	1.14.99.53	27	None	28	195	PFAM:PF03067	None	True	H	Success_Characterized	Q59930		Q59930	
B1J2U9	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Pseudomonas putida (strain W619)	1.14.99.53	0	None	19	206	PFAM:PF03067	None	True	H	Success_Characterized	B1J2U9		B1J2U9	
B3PJ79	AA10	IPR003610; IPR004302; IPR014756; IPR036573; IPR051024; PF03067; SM00495; cd12215	Unknown	Cellvibrio japonicus (strain Ueda107)	1.14.99.53	0	None	37	213	PFAM:PF03067	Chitin-binding domain of chitinase C [CDD:cd12215] (257-299); Chitin-binding domain type 3 [SMART:SM00495] (342-389)	True	H	Success_Characterized	B3PJ79		B3PJ79	
D6Y7U3	AA10	IPR001919; IPR004302; IPR008965; IPR012291; IPR014756; IPR051024; PF00553; PF03067	Unknown	Thermobispora bispora (strain ATCC 19993 / DSM 43833 / CBS 139.67 / JCM 10125 / KCTC 9307 / NBRC 14880 / R51)	1.14.99.54 1.14.99.56	35	None	36	227	PFAM:PF03067	Cellulose binding domain [PFAM:PF00553] (276-369)	True	H	Success_Characterized	D6Y7U3		D6Y7U3	
A0A0D1CHL0	AA10	IPR004302; IPR014756; IPR051024; PF03067	AA10 family lytic polysaccharide monooxygenase C	Mycosarcoma maydis	1.14.99.53	32	None	33	200	PFAM:PF03067	None	True	H	Success_Characterized	A0A0D1CHL0		A0A0D1CHL0	
Q9KLD5	AA10	IPR004302; IPR014756; IPR020879; IPR041029; IPR051024; IPR054063; PF03067; PF18416; PF21868	GlcNAc-binding protein A	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	1.14.99.53	23	None	24	199	PFAM:PF03067|original:36-199	None	True	H	Success_Characterized	Q9KLD5	A9Y370;A6XA54	Q9KLD5	A9Y370;A6XA54
A9Y370	AA10	IPR004302; IPR014756; IPR020879; IPR041029; IPR051024; IPR054063; PF03067; PF18416; PF21868	GlcNAc-binding protein A	Vibrio cholerae	1.14.99.53	23	None	24	199	PFAM:PF03067|original:36-199	None	True	H	Success_Characterized	Q9KLD5	Q9KLD5;A6XA54	Q9KLD5	Q9KLD5;A6XA54
A6XA54	AA10	IPR004302; IPR014756; IPR020879; IPR041029; IPR051024; IPR054063; PF03067; PF18416; PF21868	GlcNAc-binding protein A	Vibrio cholerae serotype O1 biovar El Tor	1.14.99.53	23	None	24	199	PFAM:PF03067|original:36-199	None	True	H	Success_Characterized	Q9KLD5	Q9KLD5;A9Y370	Q9KLD5	Q9KLD5;A9Y370
O70709	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Alphaentomopoxvirus acuprea	1.14.99.53	0	None	17	246	PFAM:PF03067	None	True	H	Success_Characterized	O70709		O70709	
A0A8K1XN59	AA10	IPR002883; IPR004302; IPR009031; IPR014756; IPR036601; IPR051024; PF02013; PF03067	Unknown	Lyrodus pedicellatus	1.14.99.54	24	None	25	220	PFAM:PF03067	None	True	H	Success_Characterized	A0A8K1XN59		A0A8K1XN59	
W5QLL4	AA10	IPR004302; IPR014756; IPR051024; PF03067	Unknown	Tectaria macrodonta	1.14.99.53	24	None	25	204	PFAM:PF03067	None	True	H	Success_Characterized	W5QLL4		W5QLL4	
Q2UA85	AA11	None	AA11 family lytic polysaccharide monooxygenase	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	1.14.99.53	19	None	20	421	Inferred:H1_verification	None	True	H	Success_Characterized	Q2UA85		Q2UA85	
B0XZD3	AA11	IPR004302; PF03067	AA11 family lytic polysaccharide monooxygenase A	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	1.14.99.53	18	None	19	157	PFAM:PF03067|original:55-157	None	True	H	Success_Characterized	B0XZD3		B0XZD3	
Q0CGA6	AA13	IPR002044; IPR004302; IPR013783; IPR013784; IPR034836; IPR052282; PF03067; cd05811	AA13 family lytic polysaccharide monooxygenase A	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	1.14.99.55	17	None	18	247	PFAM:PF03067	CBM20_glucoamylase [CDD:cd05811] (292-399)	True	H	Success_Characterized	Q0CGA6		Q0CGA6	
Q5B1W7	AA13	IPR002044; IPR004302; IPR013783; IPR013784; IPR034836; IPR052282; PF03067; cd05811	AA13 family lytic polysaccharide monooxygenase aasA	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	1.14.99.55	18	None	19	248	PFAM:PF03067	CBM20_glucoamylase [CDD:cd05811] (278-384)	True	H	Success_Characterized	Q5B1W7		Q5B1W7	
Q2U8Y3	AA13	IPR004302; IPR052282; PF03067	Inactive AA13 family lytic polysaccharide monooxygenase	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	1.14.99.55	0	None	47	276	PFAM:PF03067	None	True	H	Success_Characterized	Q2U8Y3		Q2U8Y3	
Q7SCE9	AA13	IPR002044; IPR004302; IPR013783; IPR013784; IPR034836; IPR052282; PF03067; cd05811	AA13 family lytic polysaccharide monooxygenase NCU08746	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.55	18	None	19	248	PFAM:PF03067	CBM20_glucoamylase [CDD:cd05811] (278-384)	True	H	Success_Characterized	Q7SCE9		Q7SCE9	
A0A4Z1IKG2	AA13	IPR002044; IPR013783; IPR013784; IPR034836; IPR052282; cd05811	CBM20 domain-containing protein	Botryotinia convoluta	1.14.99.55	24	None	25	407	Inferred:H1_verification	CBM20_glucoamylase [CDD:cd05811] (306-406); CBM20 (301-407)	True	H	Success_Characterized	A0A4Z1IKG2		A0A4Z1IKG2	
A0A1G4BH63	AA13	IPR002044; IPR004302; IPR013783; IPR013784; IPR034836; IPR052282; PF03067; cd05811	Unknown	Colletotrichum orchidophilum	1.14.99.55	18	None	19	248	PFAM:PF03067	CBM20_glucoamylase [CDD:cd05811] (279-381)	True	H	Success_Characterized	A0A1G4BH63		A0A1G4BH63	
A0AAN4PGW3	AA13	IPR004302; IPR052282; PF03067	Chitin-binding type-4 domain-containing protein	Aspergillus lentulus	1.14.99.55	18	None	19	248	PFAM:PF03067	None	True	H	Success_Characterized	A0AAN4PGW3		A0AAN4PGW3	
C7Z3N0	AA13	IPR002044; IPR004302; IPR013783; IPR013784; IPR034836; PF03067; cd05811	CBM20 domain-containing protein	Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)	1.14.99.55	0	None	18	247	PFAM:PF03067	CBM20_glucoamylase [CDD:cd05811] (270-370)	True	H	Success_Characterized	C7Z3N0		C7Z3N0	
G2QP40	AA13	IPR004302; IPR052282; PF03067	Chitin-binding type-4 domain-containing protein	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799)	1.14.99.55	0	None	19	248	PFAM:PF03067	None	True	H	Success_Characterized	G2QP40		G2QP40	
Q6MWQ3	AA13	IPR002044; IPR004302; IPR013783; IPR013784; IPR034836; IPR052282; PF03067; cd05811	Unknown	Neurospora crassa	1.14.99.55	18	None	19	268	PFAM:PF03067	CBM20_glucoamylase [CDD:cd05811] (298-404)	True	H	Success_Characterized	Q6MWQ3		Q6MWQ3	
A0A2I6QB00	AA14	IPR054497	AA14 family lytic polysaccharide monooxygenase B	Trametes coccinea (strain BRFM310)	1.14.99.-	18	None	19	418	Inferred:H1_verification	None	True	H	Success_Characterized	A0A2I6QB00		A0A2I6QB00	
A0A2I6QAZ5	AA14	IPR054497	AA14 family lytic polysaccharide monooxygenase A	Trametes coccinea (strain BRFM310)	1.14.99.-	21	None	22	428	Inferred:H1_verification	None	True	H	Success_Characterized	A0A2I6QAZ5		A0A2I6QAZ5	
A0A7H8R162	AA14	IPR054497	AA14 family lytic polysaccharide monooxygenase A	Talaromyces rugulosus	1.14.99.54	18	None	19	287	Inferred:H1_verification	None	True	H	Success_Characterized	A0A7H8R162		A0A7H8R162	
A0A2N8U5K6	AA15	IPR004302; PF03067	Unknown	Thermobia domestica	1.14.99.53 1.14.99.54	20	None	21	210	PFAM:PF03067	None	True	H	Success_Characterized	A0A2N8U5K6		A0A2N8U5K6	A0A2R2JFH0
A0A2R2JFH0	AA15	IPR004302; PF03067	Unknown	Thermobia domestica	1.14.99.53 1.14.99.54	0	None	1	190	PFAM:PF03067	None	True	H	Success_Characterized	A0A2R2JFH0		A0A2N8U5K6	A0A2N8U5K6
A0A2N8U5I8	AA15	IPR004302; PF03067	Unknown	Thermobia domestica	1.14.99.53	19	None	20	209	PFAM:PF03067	None	True	H	Success_Characterized	A0A2N8U5I8		A0A2N8U5I8	
W4GRV7	AA15	IPR004302; IPR052282; PF03067	Chitin-binding type-4 domain-containing protein	Aphanomyces astaci	1.14.99.53	19	None	20	212	PFAM:PF03067|original:92-212	None	True	H	Success_Characterized	W4GRV7		W4GRV7	
A0A1L9X7U6	AA16	IPR004302; IPR052282; PF03067	Chitin-binding type-4 domain-containing protein	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	1.14.99.54	19	None	20	189	PFAM:PF03067	None	True	H	Success_Characterized	A0A1L9X7U6		A0A1L9X7U6	
A0A833WPX8	AA17	None	Unknown	Phytophthora infestans	1.14.99.-	23	None	24	325	Inferred:H1_verification	None	True	H	Success_Characterized	A0A833WPX8		A0A833WPX8	
G4YSM3	AA17	None	Mucin-like protein	Phytophthora sojae (strain P6497)	1.14.99.-	23	None	24	320	Inferred:H1_verification	None	True	H	Success_Characterized	G4YSM3		G4YSM3	
D0N2F7	AA17	None	Mucin-like protein	Phytophthora infestans (strain T30-4)	1.14.99.-	23	None	24	337	Inferred:H1_verification	None	True	H	Success_Characterized	D0N2F7		D0N2F7	
D0N2F6	AA17	None	Unknown	Phytophthora infestans (strain T30-4)	1.14.99.-	23	None	24	232	Inferred:H1_verification	None	True	H	Success_Characterized	D0N2F6		D0N2F6	
G4YSM7	AA17	None	Mucin-like protein	Phytophthora sojae (strain P6497)	1.14.99.-	23	None	24	278	Inferred:H1_verification	None	True	H	Success_Characterized	G4YSM7		G4YSM7	
G3XAP7	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase A	Thermoascus aurantiacus	1.14.99.54	0	None	1	226	CDD:cd21175	None	True	H	Success_Characterized	G3XAP7		G3XAP7	
Q4WP32	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase B	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	1.14.99.54 1.14.99.56	21	None	22	248	CDD:cd21175	None	True	H	Success_Characterized	Q4WP32		Q4WP32	
Q5BCX8	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase B	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	1.14.99.56	18	None	19	231	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (324-351)	True	H	Success_Characterized	Q5BCX8		Q5BCX8	
A0A0S2GKZ1	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase A	Panus similis	1.14.99.54 1.14.99.56	19	None	20	237	CDD:cd21175	None	True	H	Success_Characterized	A0A0S2GKZ1		A0A0S2GKZ1	
Q7S439	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase A	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.56	15	None	16	233	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (290-318)	True	H	Success_Characterized	Q7S439		Q7S439	
G2Q9T3	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase H	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799)	1.14.99.54 1.14.99.56	19	None	20	243	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (310-338)	True	H	Success_Characterized	G2Q9T3		G2Q9T3	
G2QAB5	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase D	Thermothelomyces thermophilus (strain ATCC 42464 / BCRC 31852 / DSM 1799)	1.14.99.54	17	None	18	242	CDD:cd21175	None	False	A	Success_Characterized	G2QAB5		G2QAB5	
Q7SHI8	AA9	IPR000254; IPR005103; IPR035971; IPR049892; PF00734; cd21175	AA9 family lytic polysaccharide monooxygenase C	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.56	16	None	17	241	CDD:cd21175	Fungal cellulose binding domain [PFAM:PF00734] (327-354)	True	H	Success_Characterized	Q7SHI8		Q7SHI8	
H1AE14	AA9	IPR005103; IPR049892; cd21175	AA9 family lytic polysaccharide monooxygenase D	Phanerodontia chrysosporium	1.14.99.54	18	None	19	233	CDD:cd21175	None	True	H	Success_Characterized	H1AE14		H1AE14	
Q1K8B6	AA9	IPR005103; IPR049892; cd21175	Lytic polysaccharide monooxygenase NCU01050	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	1.14.99.56	15	None	16	236	CDD:cd21175	None	True	H	Success_Characterized	Q1K8B6	Q8WZQ2	Q1K8B6	Q8WZQ2
